type,ant,mui,mantine,other,notes
listbox_multi,(compose) Checkbox list / Transfer list left pane,List + Checkbox,Checkbox list,Chakra: Listbox (multi),Multi-select listbox.
select_native,Native <select> (no AntD wrapper),Native Select,NativeSelect,Chakra: Select (Native),HTML select; good for agent robustness baseline.
select_custom_single,Select,Select,Select,Chakra: Select,Custom dropdown select.
select_custom_multi,Select (mode=multiple),Select (multiple) or Autocomplete (multiple),MultiSelect,Chakra: Select/Combobox (multi),Multi-select dropdown.
select_with_search,Select (showSearch) / AutoComplete,Autocomplete (searchable),Select (searchable) / Autocomplete,Chakra: Combobox,Search within options.
transfer_list,Transfer,Transfer List,TransferList (if available) or compose (two lists + buttons),Chakra: (compose) two listboxes,Move items between source/target lists; often with search.
combobox_editable_single,AutoComplete,Autocomplete,Autocomplete / Combobox,Chakra: Combobox,Editable input + suggestions; single value.
combobox_editable_multi,Select (mode=tags),Autocomplete (multiple),TagsInput / MultiSelect + search,Chakra: Combobox (multi),Editable multi-value combobox.
autocomplete_restricted,Select / AutoComplete (disable free input),Autocomplete (freeSolo=false),"Select (opinionated, options only)",Chakra: Combobox (restricted),Must choose from given options.
autocomplete_freeform,AutoComplete / Select (tags),Autocomplete (freeSolo),Autocomplete / TagsInput,Chakra: Combobox (creatable),Allows new values.
menu,Menu,Menu,Menu,Chakra: Menu,Vertical menu; keyboard nav.
menubar,Menu (mode=horizontal),AppBar/Toolbar + Menus (composite),AppShell.Header + Menus (composite),Chakra: Menu (as menubar),Top-level horizontal menu with submenus.
context_menu,Dropdown (trigger=contextMenu) + Menu,Menu opened on right-click (composite),Menu opened via onContextMenu (composite),Radix UI Context Menu,Right-click menu; focus management.
tree_view,Tree,MUI X Tree View (SimpleTreeView/RichTreeView),Tree,Chakra: TreeView; Fluent UI: Tree,Expand/collapse hierarchical list.
tree_select,TreeSelect,(compose) TextField + Popover + TreeView,(compose) TextInput + Popover + Tree,External: react-component/tree-select,Input that opens a tree for selecting nodes.
tree_grid,Table (expandable/tree data),DataGrid with tree data (may require Pro) / compose,(compose) Table + Tree grouping,Fluent UI DataGrid (hierarchical) / AG Grid,Hierarchical rows in a grid; advanced.
cascader,Cascader,(no core) external cascader library,(no core) external cascader library,RSuite: Cascader / rc-cascader,Multi-level cascading menus.
slider_single,Slider,Slider,Slider,Chakra: Slider,Single-value continuous control.
slider_range,Slider (range),Slider (range / multiple thumbs),RangeSlider,Chakra: Slider (range),Two-thumb range selection.
meter,Progress (as approximation) / native <meter>,LinearProgress / native <meter>,Progress / native <meter>,Chakra: Progress,Strict meter semantics if using <meter>.
progress_bar,Progress,LinearProgress,Progress,Chakra: Progress,Display progress (not user input).
color_swatch_picker,ColorPicker presets/swatches,(no core) compose swatches + click,ColorInput/ColorPicker with swatches + ColorSwatch,Chakra: Color Swatch + Color Picker,Discrete swatches; small targets.
color_text_input,ColorPicker (showText/hex input),TextField (hex) + validation,ColorInput,Chakra: Color Picker input; Fluent UI: ColorPicker,Type hex/RGB; verify parsing.
color_picker_2d,ColorPicker,(no core) external color picker,ColorPicker,Chakra: Color Picker; Fluent UI: ColorPicker,2D spectrum + hue slider; high precision.
alpha_slider,ColorPicker (alpha/opacity),Slider (opacity) + color preview (compose),ColorPicker (alpha) / Slider + RGBA,Chakra: Color Picker (alpha),Opacity control; often hard for agents.
date_input_text,DatePicker (allow typing),MUI X Date Field/DatePicker input,DateInput,Fluent UI: DatePicker,Free-form date parsing; locale issues.
date_picker_single,DatePicker,MUI X DatePicker,DatePickerInput (single) / DatePicker,Fluent UI: DatePicker,Popup calendar selection.
date_picker_range,DatePicker.RangePicker,MUI X DateRangePicker (may require Pro) or two DatePickers,DatePickerInput (range),Chakra: (compose) two date pickers,Range selection; start/end constraints.
time_input_text,TimePicker (typed input),MUI X TimeField/TimePicker input,TimeInput,(compose) native <input type=time>,Locale-dependent formatting.
time_picker,TimePicker,MUI X TimePicker,TimePicker,Fluent UI: (limited) TimePicker not core,Dropdown time selection.
datetime_picker_single,DatePicker (showTime),MUI X DateTimePicker,DateTimePicker,(compose) date + time pickers,Combined date+time.
datetime_picker_range,(compose) two DatePicker(showTime) / Range + time,(compose) two DateTimePickers / (if available) DateTimeRangePicker,(compose) two DateTimePicker values,External range datetime picker,Less standardized; often composite.
calendar_embedded,Calendar,DateCalendar (MUI X) / CalendarPicker,Calendar,FullCalendar (external),Always-visible calendar widget.
dialog_modal,Modal,Dialog,Modal,Chakra: Dialog,Blocking modal dialog.
alert_dialog_confirm,Popconfirm / Modal.confirm,Dialog (confirm pattern),@mantine/modals openConfirmModal / Modal,Chakra: Dialog (confirm),Confirmation with destructive action.
drawer,Drawer,Drawer,Drawer,Chakra: Drawer,Side panel overlay.
popover,Popover,Popover / Popper,Popover,Chakra: Popover,Anchored floating panel; may be interactive.
tooltip,Tooltip,Tooltip,Tooltip,Chakra: Tooltip,Non-interactive hover/focus hint.
hover_card,Popover (trigger=hover),Tooltip/Popover (interactive hover) (compose),HoverCard,Chakra: Hover Card,Hover-triggered rich content.
toast_snackbar,message / notification,Snackbar,@mantine/notifications,Chakra: Toast,Transient notification.
notification_center,(compose) notification list + Badge,(compose) Snackbar queue / Alert list,(compose) Notifications list,Chakra: (compose) Toast list,Aggregated notification inbox.
tour_teaching_tip,Tour,(no core) external tour lib (react-joyride),(no core) external tour lib,Fluent UI: TeachingTip/TeachingBubble; Chakra: (no core),Step-by-step guided tour.
table_static,Table,Table,Table,Chakra: Table,Read-only table.
data_table_sortable,Table (sorter),Table + TableSortLabel (compose) or DataGrid,Table + sort logic (compose),TanStack Table,Sorting UI and state.
data_table_filterable,Table (filters),DataGrid (filter) / Table + filter UI (compose),Table + filter UI (compose),TanStack Table,Column filters/search.
data_table_paginated,Table (pagination) / Pagination + Table,Table + Pagination / DataGrid pagination,Table + Pagination (compose),TanStack Table,Pagination control + table state.
data_grid_editable,Table (editable cells demo),MUI X DataGrid (editing),(no core) external data grid / compose,AG Grid / Handsontable,"Cell editing, validation."
data_grid_row_selection,Table (rowSelection),MUI X DataGrid (row selection),Table + Checkbox selection (compose),AG Grid,Row selection behavior.
virtual_list,(no core) external virtualization (react-window),(no core) react-window (docs examples),(no core) @tanstack/react-virtual,react-window,Large list rendering + scroll; good for grounding.
file_upload_button,Upload,Button + <input type=file> (compose),FileButton / FileInput,Chakra: File Upload,Open file picker; single/multiple.
file_dropzone,Upload (drag area) / Dragger,(no core) react-dropzone,@mantine/dropzone: Dropzone,Chakra: File Upload (dropzone),Drag-and-drop file selection.
file_list_manager,Upload fileList UI / Table/List (compose),List/Table (compose),List/Table (compose),Chakra: (compose),Remove/reorder/rename uploaded files.
download_trigger,Button + <a download> (compose),Button/Link + download attribute (compose),Button/Anchor + download (compose),Chakra: Download Trigger,Trigger file download.
clipboard_copy,Typography.Text copyable / Button + navigator.clipboard,IconButton + navigator.clipboard (compose),useClipboard hook / (CopyButton),Chakra: Clipboard,Copy to clipboard + feedback.
drag_drop_sortable_list,(no core) external DnD (dnd-kit),(no core) external DnD,(no core) external DnD,Chakra: (compose),Reorder list via drag handle.
drag_drop_between_lists,(no core) external DnD,(no core) external DnD,(no core) external DnD,Chakra: (compose),Move items across lists.
kanban_board_drag_drop,(no core) external DnD + columns,(no core) external DnD + columns,(no core) external DnD + columns,External: react-beautiful-dnd examples,Card drag across columns.
resizable_columns,Table + react-resizable (compose),MUI X DataGrid (column resizing) / compose,(no core) compose with resizable handles,AG Grid,Column resize handles.
rich_text_editor,(no core) external editor (Tiptap/Slate),(no core) external editor,@mantine/tiptap: RichTextEditor,Chakra: Rich Text Editor,WYSIWYG formatting toolbar.
code_editor,(no core) Monaco/CodeMirror,(no core) Monaco/CodeMirror,(no core) Monaco/CodeMirror,Monaco Editor / CodeMirror,Syntax highlighting + editing; heavy widget.
markdown_editor,(no core) external markdown editor,(no core) external markdown editor,(no core) external markdown editor,MDXEditor / react-markdown + textarea,Markdown source + preview; toolbar optional.
json_editor,(no core) jsoneditor / react-json-view,(no core) jsoneditor / react-json-view,(no core) react-json-view / mantine extensions,jsoneditor,Tree + raw JSON editing; validation.
